Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
the angry Victor hath recalled His ministers of vengeance and pursuit Back to the gates of Heaven  the sulphurous hail  Shot after us in storm  o  erblown hath laid The fiery surge that from the precipice Of Heaven received us falling  and the thunder  Winged with red lightning and impetuous rage  Perhaps hath spent his shafts  and ceases now To bellow through the vast and boundless Deep ,angry Victor hath recalled ministers vengeance pursuit gates Heaven sulphurous hail Shot storm erblown hath laid fiery surge precipice Heaven received falling thunder Winged red lightning impetuous rage hath spent shafts ceases bellow vast boundless Deep,7.93,"angry,Victor,hath,recalled,ministers,vengeance,pursuit,gates,Heaven,sulphurous,hail,Shot,storm,erblown,hath,laid,fiery,surge,precipice,Heaven,received,falling,thunder,Winged,red,lightning,impetuous,rage,hath,spent,shafts,ceases,bellow,vast,boundless,Deep",0.00,
Let us not slip th  occasion  whether scorn Or satiate fury yield it from our Foe ,Let slip th occasion scorn satiate fury yield Foe,8.54,"Let,slip,th,occasion,scorn,satiate,fury,yield,Foe",0.00,
Seest thou yon dreary plain  forlorn and wild  The seat of desolation  void of light  Save what the glimmering of these livid flames Casts pale and dreadful ,Seest thou yon dreary plain forlorn wild seat desolation void light Save glimmering livid flames Casts pale dreadful,5.73,"Seest,thou,yon,dreary,plain,forlorn,wild,seat,desolation,void,light,Save,glimmering,livid,flames,Casts,pale,dreadful",0.00,
Thither let us tend From off the tossing of these fiery waves  There rest  if any rest can harbour there  And  re   assembling our afflicted powers  Consult how we may henceforth most offend Our enemy  our own loss how repair  How overcome this dire calamity  What reinforcement we may gain from hope  If not  what resolution from despair ,Thither let tend tossing fiery waves rest rest harbour assembling afflicted powers Consult henceforth offend enemy loss repair overcome dire calamity reinforcement gain hope resolution despair,9.44,"Thither,let,tend,tossing,fiery,waves,rest,rest,harbour,assembling,afflicted,powers,Consult,henceforth,offend,enemy,loss,repair,overcome,dire,calamity,reinforcement,gain,hope,resolution,despair",0.00,
Thus Satan  talking to his nearest mate  With head uplift above the wave  and eyes That sparkling blazed  his other parts besides Prone on the flood  extended long and large  Lay floating many a rood  in bulk as huge As whom the fables name of monstrous size  Titanian or Earth   born  that warred on Jove  Briareos or Typhon  whom the den By ancient Tarsus held  or that sea   beast Leviathan  which God of all his works Created hugest that swim th  ocean   stream ,Satan talking nearest mate head uplift wave eyes sparkling blazed parts Prone flood extended long large Lay floating rood bulk huge fables monstrous size Titanian Earth born warred Jove Briareos Typhon den ancient Tarsus held sea beast Leviathan God works Created hugest swim th ocean stream,7.94,"Satan,talking,nearest,mate,head,uplift,wave,eyes,sparkling,blazed,parts,Prone,flood,extended,long,large,Lay,floating,rood,bulk,huge,fables,monstrous,size,Titanian,Earth,born,warred,Jove,Briareos,Typhon,den,ancient,Tarsus,held,sea,beast,Leviathan,God,works,Created,hugest,swim,th,ocean,stream",0.00,
Him  haply slumbering on the Norway foam  The pilot of some small night   foundered skiff  Deeming some island  oft  as seamen tell  With fixed anchor in his scaly rind  Moors by his side under the lee  while night Invests the sea  and wished morn delays ,haply slumbering Norway foam pilot small night foundered skiff Deeming island oft seamen tell fixed anchor scaly rind Moors lee night Invests sea wished morn delays,7.45,"haply,slumbering,Norway,foam,pilot,small,night,foundered,skiff,Deeming,island,oft,seamen,tell,fixed,anchor,scaly,rind,Moors,lee,night,Invests,sea,wished,morn,delays",0.00,
So stretched out huge in length the Arch   fiend lay  Chained on the burning lake  nor ever thence Had risen  or heaved his head  but that the will And high permission of all   ruling Heaven Left him at large to his own dark designs  That with reiterated crimes he might Heap on himself damnation  while he sought Evil to others  and enraged might see How all his malice served but to bring forth Infinite goodness  grace  and mercy  shewn On Man by him seduced  but on himself Treble confusion  wrath  and vengeance poured ,stretched huge length Arch fiend lay Chained burning lake risen heaved head high permission ruling Heaven Left large dark designs reiterated crimes Heap damnation sought Evil enraged malice served bring forth Infinite goodness grace mercy shewn Man seduced Treble confusion wrath vengeance poured,9.54,"stretched,huge,length,Arch,fiend,lay,Chained,burning,lake,risen,heaved,head,high,permission,ruling,Heaven,Left,large,dark,designs,reiterated,crimes,Heap,damnation,sought,Evil,enraged,malice,served,bring,forth,Infinite,goodness,grace,mercy,shewn,Man,seduced,Treble,confusion,wrath,vengeance,poured",0.00,
Forthwith upright he rears from off the pool His mighty stature  on each hand the flames Driven backward slope their pointing spires  and  rolled In billows  leave i  th  midst a horrid vale ,Forthwith upright rears pool mighty stature hand flames Driven backward slope pointing spires rolled billows leave th midst horrid vale,6.81,"Forthwith,upright,rears,pool,mighty,stature,hand,flames,Driven,backward,slope,pointing,spires,rolled,billows,leave,th,midst,horrid,vale",0.00,
Then with expanded wings he steers his flight Aloft  incumbent on the dusky air  That felt unusual weight  till on dry land He lights    if it were land that ever burned With solid  as the lake with liquid fire  And such appeared in hue as when the force Of subterranean wind transprots a hill Torn from Pelorus  or the shattered side Of thundering Etna  whose combustible And fuelled entrails  thence conceiving fire  Sublimed with mineral fury  aid the winds  And leave a singed bottom all involved With stench and smoke ,expanded wings steers flight Aloft incumbent dusky air felt unusual weight till dry land lights land burned solid lake liquid fire appeared hue force subterranean wind transprots hill Torn Pelorus shattered thundering Etna combustible fuelled entrails conceiving fire Sublimed mineral fury aid winds leave singed involved stench smoke,8.03,"expanded,wings,steers,flight,Aloft,incumbent,dusky,air,felt,unusual,weight,till,dry,land,lights,land,burned,solid,lake,liquid,fire,appeared,hue,force,subterranean,wind,transprots,hill,Torn,Pelorus,shattered,thundering,Etna,combustible,fuelled,entrails,conceiving,fire,Sublimed,mineral,fury,aid,winds,leave,singed,involved,stench,smoke",0.00,
Such resting found the sole Of unblest feet ,resting found sole unblest feet,6.82,"resting,found,sole,unblest,feet",0.00,
