Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
She told the ladies how Mary had been turned out of her house  and how she had offered her goat  of which she was very fond  to discharge a debt due for her schooling  and  in short  the schoolmistress  who had known Mary for several years  spoke so well of her that these ladies resolved that they would go to the old castle of Rossmore to see her the next day ,told ladies Mary turned house offered goat fond discharge debt schooling short schoolmistress known Mary years spoke ladies resolved old castle Rossmore day,13.26,"told,ladies,Mary,turned,house,offered,goat,fond,discharge,debt,schooling,short,schoolmistress,known,Mary,years,spoke,ladies,resolved,old,castle,Rossmore,day",0.00,
When they went there  they found the room in which the children lived as clean and neat as such a ruined place could be made ,went found room children lived clean neat ruined place,12.80,"went,found,room,children,lived,clean,neat,ruined,place",0.00,
Edmund was out working with a farmer  Mary was spinning  and her little sisters were measuring out some bogberries  of which they had gathered a basketful  for sale ,Edmund working farmer Mary spinning little sisters measuring bogberries gathered basketful sale,9.70,"Edmund,working,farmer,Mary,spinning,little,sisters,measuring,bogberries,gathered,basketful,sale",0.00,
Isabella  after telling Mary what an excellent character she had heard of her  inquired what it was she most wanted  and Mary said that she had just worked up all her flax  and she was most in want of more flax for her wheel ,Isabella telling Mary excellent character heard inquired wanted Mary said worked flax want flax wheel,12.89,"Isabella,telling,Mary,excellent,character,heard,inquired,wanted,Mary,said,worked,flax,want,flax,wheel",0.00,
Isabella promised that she would send her a fresh supply of flax  and Caroline bought the bogberries from the little girls  and gave them money enough to buy a pound of coarse cotton for knitting  as Mary said that she could teach them how to knit ,Isabella promised send fresh supply flax Caroline bought bogberries little girls gave money buy pound coarse cotton knitting Mary said teach knit,9.68,"Isabella,promised,send,fresh,supply,flax,Caroline,bought,bogberries,little,girls,gave,money,buy,pound,coarse,cotton,knitting,Mary,said,teach,knit",0.00,
The supply of flax  which Isabella sent the next day  was of great service to Mary  as it kept her in employment for above a month  and when she sold the yarn which she had spun with it  she had money enough to buy some warm flannel for winter wear ,supply flax Isabella sent day great service Mary kept employment month sold yarn spun money buy warm flannel winter wear,12.05,"supply,flax,Isabella,sent,day,great,service,Mary,kept,employment,month,sold,yarn,spun,money,buy,warm,flannel,winter,wear",0.00,
Besides spinning well  she had learned at school to do plain work tolerably neatly  and Isabella and Caroline employed her to work for them  by which she earned a great deal more than she could by spinning ,spinning learned school plain work tolerably neatly Isabella Caroline employed work earned great deal spinning,10.68,"spinning,learned,school,plain,work,tolerably,neatly,Isabella,Caroline,employed,work,earned,great,deal,spinning",0.00,
At her leisure hours she taught her sisters to read and write  and Edmund  with part of the money which he earned by his work out of doors  paid a schoolmaster for teaching him a little arithmetic ,leisure hours taught sisters read write Edmund money earned work doors paid schoolmaster teaching little arithmetic,10.66,"leisure,hours,taught,sisters,read,write,Edmund,money,earned,work,doors,paid,schoolmaster,teaching,little,arithmetic",0.00,
When the winter nights came on  he used to light his rush candles for Mary to work by ,winter nights came light rush candles Mary work,11.63,"winter,nights,came,light,rush,candles,Mary,work",0.00,
He had gathered and stripped a good provision of rushes in the month of August  and a neighbour gave him grease to dip them in ,gathered stripped good provision rushes month August neighbour gave grease dip,11.02,"gathered,stripped,good,provision,rushes,month,August,neighbour,gave,grease,dip",0.00,
