Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
Sweet dreams of pleasant streams By happy  silent  moony beams ,Sweet dreams pleasant streams happy silent moony beams,3.17,"Sweet,dreams,pleasant,streams,happy,silent,moony,beams",0.00,
Sweet Sleep  with soft down Weave thy brows an infant crown Sweet Sleep  angel mild  Hover o  er my happy child ,Sweet Sleep soft Weave thy brows infant crown Sweet Sleep angel mild Hover er happy child,4.46,"Sweet,Sleep,soft,Weave,thy,brows,infant,crown,Sweet,Sleep,angel,mild,Hover,er,happy,child",0.00,
Sweet smiles  in the night Hover over my delight ,Sweet smiles night Hover delight,8.16,"Sweet,smiles,night,Hover,delight",0.00,
Sweet smiles  mother  s smile  All the livelong night beguile ,Sweet smiles mother smile livelong night beguile,4.84,"Sweet,smiles,mother,smile,livelong,night,beguile",0.00,
Sweet moans  dovelike sighs  Chase not slumber from thine eyes ,Sweet moans dovelike sighs Chase slumber thine eyes,3.17,"Sweet,moans,dovelike,sighs,Chase,slumber,thine,eyes",0.00,
Sweet moan  sweeter smile  All the dovelike moans beguile ,Sweet moan sweeter smile dovelike moans beguile,3.45,"Sweet,moan,sweeter,smile,dovelike,moans,beguile",0.00,
Sleep  sleep  happy child ,Sleep sleep happy child,0.00,"Sleep,sleep,happy,child",0.00,
All creation slept and smiled ,creation slept smiled,6.67,"creation,slept,smiled",0.00,
Sleep  sleep  happy sleep  While o  er thee doth mother weep ,Sleep sleep happy sleep er thee doth mother weep,3.28,"Sleep,sleep,happy,sleep,er,thee,doth,mother,weep",0.00,
Sweet babe  in thy face Holy image I can trace  Sweet babe  once like thee Thy Maker lay  and wept for me ,Sweet babe thy face Holy image trace Sweet babe like thee Thy Maker lay wept,6.60,"Sweet,babe,thy,face,Holy,image,trace,Sweet,babe,like,thee,Thy,Maker,lay,wept",0.00,
Wept for me  for thee  for all  When He was an infant small ,Wept thee infant small,15.00,"Wept,thee,infant,small",0.00,
Thou His image ever see  Heavenly face that smiles on thee ,Thou image Heavenly face smiles thee,8.47,"Thou,image,Heavenly,face,smiles,thee",0.00,
Smiles on thee  on me  on all  Who became an infant small  Infant smiles are his own smiles  Heaven and earth to peace beguiles ,Smiles thee infant small Infant smiles smiles Heaven earth peace beguiles,10.16,"Smiles,thee,infant,small,Infant,smiles,smiles,Heaven,earth,peace,beguiles",0.00,
To Mercy  Pity  Peace  and Love  All pray in their distress  And to these virtues of delight Return their thankfulness ,Mercy Pity Peace Love pray distress virtues delight Return thankfulness,8.40,"Mercy,Pity,Peace,Love,pray,distress,virtues,delight,Return,thankfulness",0.00,
For Mercy  Pity  Peace  and Love  Is God our Father dear  And Mercy  Pity  Peace  and Love  Is man  his child and care ,Mercy Pity Peace Love God Father dear Mercy Pity Peace Love man child care,7.56,"Mercy,Pity,Peace,Love,God,Father,dear,Mercy,Pity,Peace,Love,man,child,care",0.00,
For Mercy has a human heart Pity  a human face  And Love  the human form divine  And Peace  the human dress ,Mercy human heart Pity human face Love human form divine Peace human dress,7.41,"Mercy,human,heart,Pity,human,face,Love,human,form,divine,Peace,human,dress",0.00,
Then every man  of every clime  That prays in his distress  Prays to the human form divine  Love  Mercy  Pity  Peace ,man clime prays distress Prays human form divine Love Mercy Pity Peace,7.69,"man,clime,prays,distress,Prays,human,form,divine,Love,Mercy,Pity,Peace",0.00,
And all must love the human form  In heathen  Turk  or Jew ,love human form heathen Turk Jew,10.17,"love,human,form,heathen,Turk,Jew",0.00,
Where Mercy  Love  and Pity dwell  There God is dwelling too ,Mercy Love Pity dwell God dwelling,8.20,"Mercy,Love,Pity,dwell,God,dwelling",0.00,
 It Was on a Holy Thursday  their innocent faces clean  Came children walking two and two  in read  and blue  and green  Grey   headed beadles walked before  with wands as white as snow  Till into the high dome of Paul  s they like Thames waters flow ,Holy Thursday innocent faces clean Came children walking read blue green Grey headed beadles walked wands white snow Till high dome Paul like Thames waters flow,7.97,"Holy,Thursday,innocent,faces,clean,Came,children,walking,read,blue,green,Grey,headed,beadles,walked,wands,white,snow,Till,high,dome,Paul,like,Thames,waters,flow",0.00,
Oh what a multitude they seemed  these flowers of London town ,Oh multitude flowers London town,9.68,"Oh,multitude,flowers,London,town",0.00,
Seated in companies they sit  with radiance all their own ,Seated companies sit radiance,10.34,"Seated,companies,sit,radiance",0.00,
The hum of multitudes was there  but multitudes of lambs  Thousands of little boys and girls raising their innocent hands ,hum multitudes multitudes lambs Thousands little boys girls raising innocent hands,7.38,"hum,multitudes,multitudes,lambs,Thousands,little,boys,girls,raising,innocent,hands",0.00,
Now like a mighty wild they raise to heaven the voice of song  Or like harmonious thunderings the seats of heaven among  Beneath them sit the aged man  wise guardians of the poor ,like mighty wild raise heaven voice song like harmonious thunderings seats heaven Beneath sit aged man wise guardians poor,7.82,"like,mighty,wild,raise,heaven,voice,song,like,harmonious,thunderings,seats,heaven,Beneath,sit,aged,man,wise,guardians,poor",0.00,
Then cherish pity  lest you drive an angel from your door ,cherish pity lest drive angel door,8.62,"cherish,pity,lest,drive,angel,door",0.00,
The sun descending in the west  The evening star does shine  The birds are silent in their nest  And I must seek for mine ,sun descending west evening star shine birds silent nest seek,11.48,"sun,descending,west,evening,star,shine,birds,silent,nest,seek",0.00,
The moon  like a flower In heaven  s high bower  With silent delight  Sits and smiles on the night ,moon like flower heaven high bower silent delight Sits smiles night,8.08,"moon,like,flower,heaven,high,bower,silent,delight,Sits,smiles,night",0.00,
Farewell  green fields and happy grove  Where flocks have ta  en delight ,Farewell green fields happy grove flocks ta en delight,4.11,"Farewell,green,fields,happy,grove,flocks,ta,en,delight",0.00,
Where lambs have nibbled  silent move The feet of angels bright  Unseen they pour blessing  And joy without ceasing  On each bud and blossom  And each sleeping bosom ,lambs nibbled silent feet angels bright Unseen pour blessing joy ceasing bud blossom sleeping bosom,7.83,"lambs,nibbled,silent,feet,angels,bright,Unseen,pour,blessing,joy,ceasing,bud,blossom,sleeping,bosom",0.00,
